stem,img_path,direction,edge,xmin,ymin,xmax,ymax,bbox_w,bbox_h,cx,cy,xmin_norm,ymin_norm,xmax_norm,ymax_norm,bbox_w_norm,bbox_h_norm,cx_norm,cy_norm,aspect_ratio,offscreen_dist
image_0,../data/train_data/train_data/image_0.png,1,left,-228.87714385986328,223.6187400817871,-110.61487913131714,416.3587894439697,118.26226472854614,192.74004936218262,-169.7460114955902,319.9887647628784,-0.3178849220275879,0.4658723751703898,-0.1536317765712738,0.8674141446749369,0.1642531454563141,0.4015417695045471,-0.23575834929943085,0.6666432599226634,1.6297679551849393,110.61487913131714
image_10,../data/train_data/train_data/image_10.png,0,left,-307.3855948448181,215.6910743713379,-243.78775835037231,438.10311102867126,63.5978364944458,222.41203665733337,-275.5866765975952,326.8970927000046,-0.4269244372844696,0.4493564049402873,-0.33859410881996155,0.9127148146430651,0.08833032846450806,0.46335840970277786,-0.3827592730522156,0.6810356097916762,3.4971635658825804,243.78775835037231
image_100,../data/train_data/train_data/image_100.png,1,left,-253.66890907287598,215.60472869873047,-174.38595414161682,434.19680976867676,79.28295493125916,218.5920810699463,-214.0274316072464,324.9007692337036,-0.3523179292678833,0.44917651812235515,-0.24220271408557892,0.9045766870180766,0.11011521518230438,0.45540016889572144,-0.2972603216767311,0.6768766025702159,2.7571131936173745,174.38595414161682
image_1000,../data/train_data/train_data/image_1000.png,0,left,-234.06380653381348,227.4595775604248,-138.2507836818695,379.1891088485718,95.81302285194397,151.72953128814697,-186.1572951078415,303.3243432044983,-0.32508862018585205,0.4738741199175517,-0.19201497733592987,0.7899773101011912,0.13307364284992218,0.3161031901836395,-0.25855179876089096,0.6319257150093714,1.583600295364948,138.2507836818695
image_1001,../data/train_data/train_data/image_1001.png,1,left,-195.74817180633545,225.63796424865723,-87.97619819641113,392.7053179740906,107.77197360992432,167.06735372543335,-141.8621850013733,309.1716411113739,-0.27187246084213257,0.47007909218470256,-0.12218916416168213,0.8181360791126887,0.14968329668045044,0.34805698692798615,-0.19703081250190735,0.6441075856486956,1.5501929502574197,87.97619819641113
image_1003,../data/train_data/train_data/image_1003.png,0,left,-205.0696849822998,226.19952583312988,-130.63246250152588,378.0185570716858,74.43722248077393,151.8190312385559,-167.85107374191284,302.10904145240784,-0.28481900691986084,0.47124901215235393,-0.18143397569656372,0.7875386605660121,0.10338503122329712,0.31628964841365814,-0.23312649130821228,0.629393836359183,2.0395579815967557,130.63246250152588
image_1004,../data/train_data/train_data/image_1004.png,1,left,-160.4232108592987,224.98012924194336,-119.25739645957947,355.68025493621826,41.16581439971924,130.7001256942749,-139.8403036594391,290.3301920890808,-0.22281001508235931,0.468708602587382,-0.16563527286052704,0.7410005311171214,0.057174742221832275,0.2722919285297394,-0.19422264397144318,0.6048545668522517,3.174967569575553,119.25739645957947
image_1005,../data/train_data/train_data/image_1005.png,0,right,795.0722408294678,228.65880393981934,879.3706798553467,365.76491022109985,84.2984390258789,137.10610628128052,837.2214603424072,297.2118570804596,1.1042670011520386,0.47637250820795696,1.2213481664657593,0.7620102296272914,0.1170811653137207,0.2856377214193344,1.162807583808899,0.6191913689176242,1.626437071262851,75.07224082946777
image_1006,../data/train_data/train_data/image_1006.png,1,right,858.4817218780518,225.10498428344727,962.7878093719482,406.2089743614197,104.30608749389648,181.1039900779724,910.634765625,315.6569793224335,1.1923357248306274,0.4689687172571818,1.3372052907943726,0.846268696586291,0.14486956596374512,0.3772999793291092,1.2647705078125,0.6576187069217364,1.7362744057346584,138.48172187805176
image_1007,../data/train_data/train_data/image_1007.png,0,left,-260.42163848876953,223.98360633850098,-133.88513445854187,417.33487033843994,126.53650403022766,193.35126399993896,-197.1533864736557,320.65923833847046,-0.361696720123291,0.4666325132052104,-0.1859515756368637,0.8694476465384166,0.1757451444864273,0.4028151333332062,-0.27382414788007736,0.6680400798718135,1.5280275481117311,133.88513445854187
